NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 2, at cycle: 706495.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 2, at cycle: 706513.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 2, at cycle: 706521.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 2, at cycle: 706579.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 2, at cycle: 706582.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 2, at cycle: 706599.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 2, at cycle: 706601.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 2, at cycle: 706606.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 2, at cycle: 706609.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 2, at cycle: 706693.000000
NEW_JOB_RELEASED, task 1, job 4, at cycle: 745112.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 4, at cycle: 745211.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 4, at cycle: 745301.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 4, at cycle: 745316.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 4, at cycle: 745334.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 4, at cycle: 745341.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 4, at cycle: 745427.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 4, at cycle: 745430.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 4, at cycle: 745442.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 4, at cycle: 745444.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 4, at cycle: 745468.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 4, at cycle: 745477.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 4, at cycle: 745501.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 4, at cycle: 745561.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 4, at cycle: 745563.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 4, at cycle: 745628.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 4, at cycle: 745630.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 4, at cycle: 745714.000000
NEW_JOB_RELEASED, task 1, job 5, at cycle: 862099.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 5, at cycle: 862182.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 5, at cycle: 862258.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 5, at cycle: 862270.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 5, at cycle: 862286.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 5, at cycle: 862293.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 5, at cycle: 862359.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 5, at cycle: 862361.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 5, at cycle: 862378.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 5, at cycle: 862380.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 5, at cycle: 862402.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 5, at cycle: 862439.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 5, at cycle: 862459.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 5, at cycle: 862511.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 5, at cycle: 862513.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 5, at cycle: 862567.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 5, at cycle: 862569.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 5, at cycle: 862640.000000
NEW_JOB_RELEASED, task 2, job 3, at cycle: 920886.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 3, at cycle: 921055.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 3, at cycle: 921142.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 3, at cycle: 921156.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 3, at cycle: 921174.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 3, at cycle: 921182.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 3, at cycle: 921240.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 3, at cycle: 921242.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 3, at cycle: 921259.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 3, at cycle: 921261.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 3, at cycle: 921269.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 3, at cycle: 921271.000000
